District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),04450000,"     1,440",     3.4,     1.9,"     1,432",    97.1
Abington,00010000,"     2,152",     7.6,     5.1,"     2,065",    96.3
Academy Of the Pacific Rim Charter Public (District),04120000,       550,    10.2,     6.9,       532,    92.9
Acton-Boxborough,06000000,"     5,684",     4.2,     2.5,"     5,571",    97.8
Acushnet,00030000,"     1,037",     5.0,     3.6,"     1,009",    97.6
Adams-Cheshire,06030000,"     1,224",    10.9,     6.9,"     1,165",    93.6
Advanced Math and Science Academy Charter (District),04300000,       982,     3.0,     1.6,       975,    97.7
Agawam,00050000,"     3,894",     8.9,     4.5,"     3,798",    93.5
Alma del Mar Charter School (District),04090000,       458,    10.0,     6.6,       447,    92.2
Amesbury,00070000,"     2,155",     9.3,     3.8,"     2,091",    93.9
Amherst,00080000,"     1,187",    11.7,     7.0,"     1,134",    92.8
Amherst-Pelham,06050000,"     1,383",     7.4,     3.2,"     1,348",    95.0
Andover,00090000,"     6,087",     4.0,     2.4,"     5,974",    97.9
Argosy Collegiate Charter School (District),35090000,       483,    10.4,     3.1,       470,    92.1
Arlington,00100000,"     6,080",     4.2,     2.5,"     5,953",    97.8
Ashburnham-Westminster,06100000,"     2,408",     4.7,     2.6,"     2,358",    97.4
Ashland,00140000,"     2,939",     6.0,     3.8,"     2,847",    97.0
Assabet Valley Regional Vocational Technical,08010000,"     1,141",     3.0,     1.0,"     1,137",    97.4
Athol-Royalston,06150000,"     1,588",    14.1,     9.3,"     1,476",    92.5
Atlantis Charter (District),04910000,"     1,315",     5.6,     3.0,"     1,303",    95.2
Attleboro,00160000,"     6,191",    11.1,     7.2,"     5,960",    93.2
Auburn,00170000,"     2,701",     6.5,     5.0,"     2,630",    96.0
Avon,00180000,       764,    10.2,     5.0,       736,    93.2
Ayer Shirley School District,06160000,"     1,776",     7.7,     4.4,"     1,715",    95.7
Barnstable,00200000,"     5,082",    10.8,     7.6,"     4,833",    93.9
Barnstable Community Horace Mann Charter Public (District),04270000,       292,     2.1,     0.0,       292,    97.9
Baystate Academy Charter Public School (District),35020000,       512,    11.9,     3.5,       509,    88.6
Bedford,00230000,"     2,716",     4.5,     2.7,"     2,663",    97.4
Belchertown,00240000,"     2,332",     4.6,     2.8,"     2,272",    97.9
Bellingham,00250000,"     2,309",     6.7,     2.9,"     2,254",    95.7
Belmont,00260000,"     4,755",     4.7,     2.9,"     4,632",    97.9
Benjamin Banneker Charter Public (District),04200000,       354,     3.4,     1.4,       354,    96.6
Benjamin Franklin Classical Charter Public (District),04470000,       461,     1.5,     0.7,       459,    98.9
