District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Bentley Academy Charter School (District),35110000,       345,    10.4,     7.5,       340,    90.9
Berkley,00270000,       907,     2.4,     1.5,       894,    99.0
Berkshire Arts and Technology Charter Public (District),04140000,       389,     8.2,     2.1,       381,    93.7
Berkshire Hills,06180000,"     1,230",     4.8,     2.7,"     1,204",    97.3
Berlin,00280000,       196,    10.7,     8.2,       187,    93.6
Berlin-Boylston,06200000,       590,     2.5,     0.8,       586,    98.1
Beverly,00300000,"     4,724",     6.6,     4.6,"     4,569",    96.7
Billerica,00310000,"     4,962",     8.5,     5.4,"     4,809",    94.7
Blackstone Valley Regional Vocational Technical,08050000,"     1,231",     1.4,     0.2,"     1,231",    98.6
Blackstone-Millville,06220000,"     1,768",     6.9,     4.2,"     1,710",    96.4
Blue Hills Regional Vocational Technical,08060000,       859,     2.8,     1.4,       854,    97.8
Boston,00350000,"    56,006",    20.7,    12.7,"    53,041",    85.7
Boston Collegiate Charter (District),04490000,       712,     6.6,     4.2,       697,    95.4
Boston Day and Evening Academy Charter (District),04240000,       550,    50.7,    27.3,       446,    60.8
Boston Green Academy Horace Mann Charter School (District),04110000,       510,    15.1,     6.5,       503,    86.1
Boston Preparatory Charter Public (District),04160000,       541,     6.8,     3.7,       527,    95.6
Boston Renaissance Charter Public (District),04810000,       966,     3.8,     1.1,       957,    97.1
Bourne,00360000,"     2,027",     8.9,     5.4,"     1,950",    94.7
Boxford,00380000,       726,     2.1,     1.7,       718,    99.0
Boylston,00390000,       307,     8.5,     6.5,       299,    94.0
Braintree,00400000,"     5,994",     5.4,     2.8,"     5,858",    97.1
Brewster,00410000,       494,     6.1,     3.2,       480,    96.7
Bridge Boston Charter School (District),04170000,       346,     6.1,     2.0,       343,    94.8
Bridgewater-Raynham,06250000,"     5,554",     6.3,     4.0,"     5,384",    96.8
Brimfield,00430000,       304,     5.9,     3.9,       294,    97.3
Bristol County Agricultural,09100000,       461,     3.5,     0.4,       460,    96.7
Bristol-Plymouth Regional Vocational Technical,08100000,"     1,293",     4.2,     0.8,"     1,288",    96.2
Brockton,00440000,"    17,456",    15.5,    10.0,"    16,408",    91.6
Brooke Charter School (District),04280000,"     1,900",     6.0,     2.3,"     1,881",    94.9
Brookfield,00450000,       328,     6.7,     4.0,       317,    96.5
Brookline,00460000,"     8,179",     9.0,     5.1,"     7,900",    94.4
Burlington,00480000,"     3,657",     7.4,     5.1,"     3,546",    95.5
Cambridge,00490000,"     7,369",    10.9,     7.0,"     7,065",    93.2
Canton,00500000,"     3,380",     5.1,     3.3,"     3,289",    97.6
Cape Cod Lighthouse Charter (District),04320000,       248,     4.8,     2.4,       243,    97.1
Cape Cod Regional Vocational Technical,08150000,       594,     6.7,     3.0,       577,    96.0
Carlisle,00510000,       610,     3.0,     1.8,       599,    98.8
Carver,00520000,"     1,607",     5.2,     3.4,"     1,558",    97.8
Central Berkshire,06350000,"     1,632",     6.4,     3.4,"     1,583",    96.6
Chelmsford,00560000,"     5,145",     7.1,     4.8,"     4,994",    95.9
Chelsea,00570000,"     6,676",    17.7,    10.5,"     6,206",    88.7
Chesterfield-Goshen,06320000,       133,     3.8,     2.3,       130,    98.5
Chicopee,00610000,"     7,819",    12.9,     8.0,"     7,422",    92.4
Christa McAuliffe Charter Public (District),04180000,       403,     4.5,     0.7,       400,    96.3
City on a Hill Charter Public School Circuit Street (District),04370000,       287,    20.9,     5.2,       280,    81.1
City on a Hill Charter Public School Dudley Square (District),35040000,       265,    13.2,     2.6,       260,    88.5
City on a Hill Charter Public School New Bedford (District),35070000,       237,    23.2,     4.2,       227,    80.2
Clarksburg,00630000,       192,     6.3,     1.6,       189,    95.2
Clinton,00640000,"     1,989",    10.7,     7.3,"     1,863",    95.3
Codman Academy Charter Public (District),04380000,       361,    10.2,     5.8,       350,    92.6
Cohasset,00650000,"     1,564",     2.1,     0.8,"     1,557",    98.3
Collegiate Charter School of Lowell (District),35030000,       877,     9.6,     5.1,       854,    92.9
Community Charter School of Cambridge (District),04360000,       340,     6.2,     2.9,       333,    95.8
Community Day Charter Public School - Gateway (District),04260000,       363,     2.5,     1.4,       360,    98.3
Community Day Charter Public School - Prospect (District),04400000,       401,     1.0,     0.2,       400,    99.3
Community Day Charter Public School - R. Kingman Webster (District),04310000,       363,     2.2,     0.8,       360,    98.6
Concord,00670000,"     2,143",     3.6,     2.3,"     2,102",    98.4
Concord-Carlisle,06400000,"     1,287",     2.3,     1.2,"     1,278",    98.4
Conservatory Lab Charter (District),04390000,       465,    12.9,     8.4,       452,    89.6
Conway,00680000,       135,     2.2,     2.2,       135,    97.8
Danvers,00710000,"     3,571",     5.5,     3.0,"     3,480",    97.0
Dartmouth,00720000,"     3,737",     5.2,     2.5,"     3,665",    96.7
Dedham,00730000,"     2,769",     7.1,     4.2,"     2,688",    95.8
Deerfield,00740000,       399,     7.3,     6.0,       392,    94.4
Dennis-Yarmouth,06450000,"     3,189",    11.2,     7.1,"     3,037",    93.3
Dighton-Rehoboth,06500000,"     2,992",     5.2,     3.6,"     2,911",    97.4
Douglas,00770000,"     1,336",     5.2,     2.8,"     1,302",    97.2
Dover,00780000,       509,     3.3,     2.6,       499,    98.6
Dover-Sherborn,06550000,"     1,206",     1.8,     1.0,"     1,199",    98.7
Dracut,00790000,"     3,716",     7.5,     4.7,"     3,587",    96.2
Dudley Street Neighborhood Charter School (District),04070000,       296,    20.3,     9.8,       273,    86.4
Dudley-Charlton Reg,06580000,"     3,922",     5.9,     3.4,"     3,807",    97.0
Duxbury,00820000,"     3,040",     1.4,     1.0,"     3,016",    99.3
East Bridgewater,00830000,"     2,303",     4.3,     2.6,"     2,260",    97.6
East Longmeadow,00870000,"     2,679",     4.3,     2.6,"     2,629",    97.6
Eastham,00850000,       187,    13.4,     8.6,       174,    93.1
Easthampton,00860000,"     1,633",     7.9,     4.8,"     1,563",    96.5
Easton,00880000,"     3,705",     4.3,     2.9,"     3,640",    97.4
Edgartown,00890000,       403,    16.6,    11.7,       369,    91.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       402,    14.9,     8.7,       391,    87.5
Erving,00910000,       133,    12.0,    11.3,       129,    90.7
Essex North Shore Agricultural and Technical School District,08170000,"     1,419",     3.4,     1.0,"     1,414",    97.0
Everett,00930000,"     7,869",    22.3,    13.1,"     7,334",    84.1
Excel Academy Charter (District),04100000,"     1,351",     9.0,     4.1,"     1,309",    94.0
Fairhaven,00940000,"     2,091",     6.5,     4.2,"     2,030",    96.5
Fall River,00950000,"    10,901",    17.4,    10.8,"    10,142",    90.6
Falmouth,00960000,"     3,456",     8.5,     5.4,"     3,362",    94.2
Farmington River Reg,06620000,       125,    16.0,    12.0,       118,    89.0
Fitchburg,00970000,"     5,823",    18.6,    11.6,"     5,408",    88.7
Florida,00980000,        92,     9.8,     7.6,        87,    95.4
Four Rivers Charter Public (District),04130000,       227,     7.0,     3.1,       221,    95.5
Foxborough,00990000,"     2,648",     5.7,     3.8,"     2,567",    97.3
Foxborough Regional Charter (District),04460000,"     1,652",     5.0,     2.2,"     1,638",    95.8
Framingham,01000000,"     9,517",    13.2,     8.6,"     8,934",    92.8
Francis W. Parker Charter Essential (District),04780000,       405,     5.4,     2.7,       401,    95.5
Franklin,01010000,"     5,306",     3.6,     2.1,"     5,231",    97.9
Franklin County Regional Vocational Technical,08180000,       499,     5.0,     1.6,       495,    95.8
Freetown-Lakeville,06650000,"     2,894",     5.6,     3.1,"     2,821",    97.0
Frontier,06700000,       667,     5.2,     3.3,       649,    97.4
Gardner,01030000,"     2,455",    13.0,     7.4,"     2,312",    92.8
Gateway,06720000,       895,    13.1,     8.8,       840,    92.7
Georgetown,01050000,"     1,422",     6.8,     5.2,"     1,405",    94.3
Gill-Montague,06740000,       984,     8.9,     5.3,       940,    95.5
Global Learning Charter Public (District),04960000,       510,     3.9,     2.2,       509,    96.3
Gloucester,01070000,"     3,026",     8.2,     5.2,"     2,906",    95.8
Grafton,01100000,"     3,257",     4.2,     2.9,"     3,174",    98.3
Granby,01110000,       759,     5.9,     4.1,       731,    97.7
Greater Fall River Regional Vocational Technical,08210000,"     1,430",     4.3,     1.3,"     1,421",    96.3
Greater Lawrence Regional Vocational Technical,08230000,"     1,581",     3.2,     0.1,"     1,579",    96.9
Greater Lowell Regional Vocational Technical,08280000,"     2,275",     5.7,     2.2,"     2,269",    94.5
Greater New Bedford Regional Vocational Technical,08250000,"     2,161",     3.4,     0.2,"     2,159",    96.7
Greenfield,01140000,"     1,826",    11.1,     7.0,"     1,734",    93.7
Greenfield Commonwealth Virtual District,39010000,       768,    44.9,    32.9,       602,    70.3
Groton-Dunstable,06730000,"     2,432",     2.1,     1.4,"     2,406",    98.9
Hadley,01170000,       563,     7.8,     5.9,       537,    96.6
Halifax,01180000,       619,     3.2,     1.8,       609,    98.4
Hamilton-Wenham,06750000,"     1,804",     4.6,     2.5,"     1,781",    96.6
Hampden Charter School of Science East (District),04990000,       527,    12.1,     4.4,       512,    90.4
Hampden Charter School of Science West (District),35160000,       254,    33.1,    16.9,       218,    78.0
Hampden-Wilbraham,06800000,"     3,125",     4.8,     2.4,"     3,066",    97.2
Hampshire,06830000,       734,     4.5,     2.5,       722,    97.1
Hancock,01210000,        45,    24.4,    24.4,        34,   100.0
Hanover,01220000,"     2,702",     3.2,     2.2,"     2,652",    98.6
Harvard,01250000,"     1,095",     4.1,     3.0,"     1,066",    98.5
Hatfield,01270000,       456,     5.9,     3.7,       441,    97.3
Haverhill,01280000,"     8,554",    12.5,     7.4,"     8,087",    93.3
Hawlemont,06850000,       157,     5.7,     3.2,       152,    97.4
Helen Y. Davis Leadership Academy Charter Public (District),04190000,       240,    32.1,    12.9,       224,    72.8
Hill View Montessori Charter Public (District),04550000,       315,     7.3,     4.4,       309,    94.5
Hilltown Cooperative Charter Public (District),04500000,       219,     2.3,     1.4,       218,    98.2
Hingham,01310000,"     4,311",     3.6,     2.5,"     4,249",    97.8
Holbrook,01330000,"     1,328",     9.6,     6.4,"     1,264",    95.0
Holland,01350000,       238,     8.0,     5.9,       226,    96.9
Holliston,01360000,"     2,941",     3.4,     1.7,"     2,896",    98.1
Holyoke,01370000,"     5,760",    19.5,    11.5,"     5,296",    88.7
Holyoke Community Charter (District),04530000,       722,     5.1,     2.5,       704,    97.3
Hopedale,01380000,"     1,118",     3.8,     1.9,"     1,099",    97.9
Hopkinton,01390000,"     3,781",     3.5,     2.5,"     3,694",    98.8
Hudson,01410000,"     2,648",     8.0,     4.9,"     2,550",    95.7
Hull,01420000,       925,     8.0,     3.7,       906,    93.9
Innovation Academy Charter (District),04350000,       810,     3.7,     1.7,       800,    97.5
Ipswich,01440000,"     1,761",     5.6,     3.2,"     1,722",    96.6
King Philip,06900000,"     2,060",     3.5,     1.8,"     2,030",    97.9
Kingston,01450000,"     1,070",     4.4,     2.5,"     1,044",    98.0
KIPP Academy Boston Charter School (District),04630000,       613,    10.0,     7.0,       600,    92.0
KIPP Academy Lynn Charter (District),04290000,"     1,497",     6.3,     3.1,"     1,482",    94.6
Lawrence,01490000,"    15,134",    21.2,    12.7,"    14,166",    85.7
Lawrence Family Development Charter (District),04540000,       769,     3.1,     1.4,       766,    97.3
Lee,01500000,       732,     8.9,     4.8,       706,    94.5
Leicester,01510000,"     1,586",     9.3,     5.4,"     1,544",    93.1
Lenox,01520000,       766,     3.4,     1.8,       757,    97.8
Leominster,01530000,"     6,386",    13.0,     7.7,"     6,057",    93.4
Leverett,01540000,       144,     9.7,     4.2,       138,    94.2
Lexington,01550000,"     7,435",     4.3,     2.6,"     7,285",    97.9
Libertas Academy Charter School (District),35140000,       193,    29.0,    16.6,       186,    73.7
Lincoln,01570000,"     1,300",    18.6,     8.8,"     1,209",    87.5
Lincoln-Sudbury,06950000,"     1,541",     2.5,     1.0,"     1,529",    98.3
Littleton,01580000,"     1,691",     4.1,     2.4,"     1,657",    97.9
Longmeadow,01590000,"     2,915",     3.2,     1.5,"     2,880",    98.1
Lowell,01600000,"    15,699",    14.7,     8.1,"    14,827",    91.4
Lowell Community Charter Public (District),04560000,       821,     3.2,     0.7,       821,    96.8
Lowell Middlesex Academy Charter (District),04580000,       129,    51.2,    20.9,       110,    57.3
Ludlow,01610000,"     2,667",     6.3,     3.1,"     2,600",    96.2
Lunenburg,01620000,"     1,700",     5.9,     3.4,"     1,656",    96.6
Lynn,01630000,"    16,878",    15.7,    10.4,"    15,813",    91.4
Lynnfield,01640000,"     2,218",     1.7,     1.0,"     2,201",    99.1
Ma Academy for Math and Science,04680000,        99,     1.0,     0.0,        99,    99.0
Malden,01650000,"     7,097",    19.0,    13.5,"     6,601",    87.5
Manchester Essex Regional,06980000,"     1,408",     2.8,     1.2,"     1,392",    98.3
Mansfield,01670000,"     3,897",     4.7,     2.3,"     3,827",    97.0
Map Academy Charter School (District),35170000,       159,    40.9,    26.4,       130,    72.3
Marblehead,01680000,"     3,113",     4.1,     2.1,"     3,061",    97.6
Marblehead Community Charter Public (District),04640000,       236,     7.6,     4.2,       230,    94.8
Marion,01690000,       470,     8.9,     5.5,       449,    95.3
Marlborough,01700000,"     5,071",    14.9,     9.9,"     4,688",    92.6
Marshfield,01710000,"     4,132",     3.8,     2.5,"     4,061",    98.0
Martha's Vineyard,07000000,       664,    10.2,     4.2,       646,    92.3
Martha's Vineyard Charter (District),04660000,       186,     7.0,     2.2,       182,    95.1
Martin Luther King Jr. Charter School of Excellence (District),04920000,       383,     9.7,     4.4,       376,    92.0
Masconomet,07050000,"     1,801",     2.4,     0.8,"     1,791",    98.1
Mashpee,01720000,"     1,679",     7.8,     4.4,"     1,632",    94.9
MATCH Charter Public School (District),04690000,"     1,251",     7.8,     5.0,"     1,215",    95.0
Mattapoisett,01730000,       451,     3.3,     2.4,       442,    98.6
Maynard,01740000,"     1,399",     7.3,     3.6,"     1,355",    95.7
Medfield,01750000,"     2,621",     3.2,     2.7,"     2,602",    97.5
Medford,01760000,"     4,416",     9.8,     6.3,"     4,253",    93.8
Medway,01770000,"     2,244",     2.1,     0.7,"     2,234",    98.3
Melrose,01780000,"     4,063",     5.2,     2.9,"     3,973",    97.0
Mendon-Upton,07100000,"     2,343",     4.3,     2.7,"     2,304",    97.4
Methuen,01810000,"     7,286",    11.9,     8.9,"     6,947",    92.5
Middleborough,01820000,"     3,072",     7.0,     3.6,"     3,000",    95.2
Middleton,01840000,       719,     3.5,     2.8,       700,    99.1
Milford,01850000,"     4,590",    14.3,    10.7,"     4,291",    91.8
Millbury,01860000,"     1,756",     7.5,     4.8,"     1,706",    95.3
Millis,01870000,"     1,248",     6.3,     4.5,"     1,228",    95.3
Milton,01890000,"     4,354",     3.1,     1.7,"     4,295",    98.3
Minuteman Regional Vocational Technical,08300000,       524,     4.2,     1.7,       516,    97.3
Mohawk Trail,07170000,       945,     9.6,     5.1,       919,    93.3
Monomoy Regional School District,07120000,"     1,953",     7.0,     4.3,"     1,902",    95.5
Monson,01910000,       962,     9.0,     4.7,       925,    94.6
Montachusett Regional Vocational Technical,08320000,"     1,437",     3.8,     1.0,"     1,430",    96.7
Mount Greylock,07150000,"     1,227",     5.8,     2.8,"     1,200",    96.3
Mystic Valley Regional Charter (District),04700000,"     1,606",     5.5,     3.1,"     1,580",    96.0
Nahant,01960000,       159,     6.9,     5.0,       152,    97.4
Nantucket,01970000,"     1,740",     7.8,     4.7,"     1,689",    95.0
Narragansett,07200000,"     1,473",     7.5,     4.1,"     1,433",    95.2
Nashoba,07250000,"     3,310",     4.8,     3.0,"     3,246",    97.1
Nashoba Valley Regional Vocational Technical,08520000,       701,     4.3,     2.0,       692,    97.0
Natick,01980000,"     5,615",     5.2,     3.6,"     5,542",    96.1
Nauset,06600000,"     1,539",     3.6,     1.5,"     1,519",    97.6
Needham,01990000,"     5,807",     3.0,     1.7,"     5,722",    98.5
Neighborhood House Charter (District),04440000,       678,    13.9,     7.7,       658,    88.8
New Bedford,02010000,"    13,813",    15.4,     9.5,"    12,920",    91.9
New Heights Charter School of Brockton (District),35130000,       561,    11.8,     6.2,       547,    90.5
New Salem-Wendell,07280000,       154,     3.9,     2.6,       150,    98.7
Newburyport,02040000,"     2,293",     5.0,     3.0,"     2,243",    97.1
Newton,02070000,"    13,142",     4.7,     2.5,"    12,893",    97.3
Norfolk,02080000,       976,     3.1,     1.9,       962,    98.3
Norfolk County Agricultural,09150000,       563,     3.0,     0.4,       562,    97.2
North Adams,02090000,"     1,460",    12.3,     6.1,"     1,387",    93.0
North Andover,02110000,"     4,908",     5.6,     3.0,"     4,802",    96.6
North Attleborough,02120000,"     4,339",     6.8,     4.0,"     4,201",    96.4
North Brookfield,02150000,       611,    10.5,     5.4,       581,    94.1
North Middlesex,07350000,"     3,157",     6.3,     4.1,"     3,079",    96.2
North Reading,02170000,"     2,441",     2.9,     1.7,"     2,402",    98.6
Northampton,02100000,"     2,721",     7.0,     4.0,"     2,634",    96.1
Northampton-Smith Vocational Agricultural,04060000,       503,     6.0,     1.6,       499,    94.8
Northboro-Southboro,07300000,"     1,465",     2.9,     1.2,"     1,452",    98.0
Northborough,02130000,"     1,623",     4.9,     3.0,"     1,586",    97.4
Northbridge,02140000,"     2,128",     5.9,     2.9,"     2,081",    96.3
Northeast Metropolitan Regional Vocational Technical,08530000,"     1,267",     6.2,     2.4,"     1,255",    94.7
Northern Berkshire Regional Vocational Technical,08510000,       501,     4.2,     1.2,       499,    96.2
Norton,02180000,"     2,505",     4.8,     3.0,"     2,438",    97.8
Norwell,02190000,"     2,225",     3.1,     2.5,"     2,192",    98.4
Norwood,02200000,"     3,643",    10.4,     6.0,"     3,458",    94.7
Oak Bluffs,02210000,       480,    15.2,    11.5,       443,    91.9
Old Colony Regional Vocational Technical,08550000,       555,     2.9,     0.7,       552,    97.6
Old Rochester,07400000,"     1,238",     4.3,     1.8,"     1,223",    96.9
Old Sturbridge Academy Charter Public School (District),35150000,       207,     7.2,     4.3,       201,    95.5
Orange,02230000,       629,    14.9,     8.1,       595,    89.9
Orleans,02240000,       222,     6.8,     2.7,       220,    94.1
Oxford,02260000,"     1,705",    10.1,     4.4,"     1,648",    93.1
Palmer,02270000,"     1,453",    15.4,     9.7,"     1,360",    90.4
Pathfinder Regional Vocational Technical,08600000,       654,     4.1,     0.6,       650,    96.5
Paulo Freire Social Justice Charter School (District),35010000,       310,    21.0,    13.2,       279,    87.8
Peabody,02290000,"     6,272",     9.5,     5.3,"     6,014",    94.7
Pelham,02300000,       135,     2.2,     1.5,       135,    97.8
Pembroke,02310000,"     2,866",     4.4,     2.3,"     2,813",    97.5
Pentucket,07450000,"     2,489",     5.4,     2.9,"     2,450",    96.2
Petersham,02340000,       120,     4.2,     4.2,       115,   100.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,       172,    50.0,    32.0,       120,    71.7
Phoenix Academy Public Charter High School Springfield (District),35080000,       263,    62.0,    39.2,       203,    49.3
Phoenix Charter Academy (District),04930000,       259,    51.4,    32.4,       201,    62.7
Pioneer Charter School of Science (District),04940000,       806,     5.7,     3.0,       792,    96.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,       373,     5.9,     1.9,       368,    95.4
Pioneer Valley,07500000,       778,     8.7,     6.2,       749,    94.8
Pioneer Valley Chinese Immersion Charter (District),04970000,       538,     6.9,     2.4,       530,    94.5
Pioneer Valley Performing Arts Charter Public (District),04790000,       409,    11.5,     7.6,       400,    90.5
Pittsfield,02360000,"     5,655",    10.3,     5.3,"     5,446",    94.3
Plainville,02380000,       743,     7.0,     5.0,       713,    96.9
Plymouth,02390000,"     7,620",     6.0,     3.2,"     7,429",    96.8
Plympton,02400000,       207,     4.8,     3.4,       201,    98.0
Prospect Hill Academy Charter (District),04870000,"     1,157",     7.4,     3.2,"     1,132",    94.6
Provincetown,02420000,       139,    18.0,    12.9,       127,    89.8
Quabbin,07530000,"     2,208",     8.3,     4.8,"     2,137",    94.9
Quaboag Regional,07780000,"     1,349",     8.5,     5.2,"     1,302",    94.9
Quincy,02430000,"     9,979",    12.7,     8.5,"     9,481",    92.4
Ralph C Mahar,07550000,       803,     9.6,     4.5,       773,    94.2
Randolph,02440000,"     2,986",    17.6,    13.2,"     2,717",    90.7
Reading,02460000,"     4,276",     4.3,     3.3,"     4,214",    97.2
Revere,02480000,"     8,044",    14.4,     8.5,"     7,587",    91.2
Richmond,02490000,       185,     7.0,     4.3,       179,    96.1
Rising Tide Charter Public (District),04830000,       676,     9.5,     5.2,       659,    92.9
River Valley Charter (District),04820000,       293,     4.1,     2.0,       288,    97.6
Rochester,02500000,       524,     5.2,     3.4,       512,    97.1
Rockland,02510000,"     2,367",    10.6,     6.5,"     2,276",    93.3
Rockport,02520000,       923,     5.6,     3.3,       901,    96.7
Rowe,02530000,        66,     0.0,     0.0,        66,   100.0
Roxbury Preparatory Charter (District),04840000,"     1,625",    14.3,     5.7,"     1,571",    88.7
Sabis International Charter (District),04410000,"     1,601",     5.2,     3.1,"     1,580",    96.0
Salem,02580000,"     4,017",    13.7,     7.9,"     3,763",    92.6
Salem Academy Charter (District),04850000,       496,     5.6,     1.6,       494,    94.7
Sandwich,02610000,"     2,571",     5.3,     2.7,"     2,520",    96.6
Saugus,02620000,"     2,757",    10.8,     5.0,"     2,660",    92.5
Savoy,02630000,        64,     4.7,     0.0,        64,    95.3
Scituate,02640000,"     3,034",     2.2,     1.3,"     3,000",    98.9
Seekonk,02650000,"     2,127",     4.2,     2.4,"     2,092",    97.4
Seven Hills Charter Public (District),04860000,       696,    10.1,     4.0,       681,    91.9
Sharon,02660000,"     3,642",     2.9,     1.9,"     3,592",    98.5
Shawsheen Valley Regional Vocational Technical,08710000,"     1,304",     3.7,     0.7,"     1,300",    96.6
Sherborn,02690000,       425,     3.8,     2.4,       416,    98.3
Shrewsbury,02710000,"     6,406",     7.2,     5.1,"     6,218",    95.7
Shutesbury,02720000,       131,     6.1,     2.3,       128,    96.1
Silver Lake,07600000,"     1,826",     7.3,     4.1,"     1,769",    95.7
Sizer School: A North Central Charter Essential (District),04740000,       383,    11.5,     3.7,       373,    90.9
Somerset,02730000,"     1,831",     6.4,     3.5,"     1,782",    96.6
Somerset Berkley Regional School District,07630000,"     1,059",     4.3,     1.8,"     1,042",    97.2
Somerville,02740000,"     5,166",    12.5,     7.9,"     4,952",    92.1
South Hadley,02780000,"     1,987",     8.4,     5.0,"     1,927",    94.5
South Middlesex Regional Vocational Technical,08290000,       773,     7.0,     3.1,       755,    95.2
South Shore Charter Public (District),04880000,       973,     9.1,     6.2,       949,    93.2
South Shore Regional Vocational Technical,08730000,       651,     4.5,     0.9,       646,    96.3
Southampton,02750000,       524,     7.4,     3.8,       507,    95.7
Southborough,02760000,"     1,306",     5.1,     3.9,"     1,279",    97.0
Southbridge,02770000,"     2,166",    18.3,    10.3,"     2,029",    88.0
Southeastern Regional Vocational Technical,08720000,"     1,462",     3.7,     1.8,"     1,451",    97.0
Southern Berkshire,07650000,       710,     6.6,     3.4,       690,    96.1
Southern Worcester County Regional Vocational Technical,08760000,"     1,144",     3.8,     0.8,"     1,136",    96.9
Southwick-Tolland-Granville Regional School District,07660000,"     1,556",     5.3,     3.2,"     1,518",    97.0
Spencer-E Brookfield,07670000,"     1,495",    11.6,     8.0,"     1,393",    94.9
Springfield,02810000,"    27,341",    20.6,    12.2,"    25,612",    87.6
Springfield Preparatory Charter School (District),35100000,       285,    12.6,     6.3,       278,    89.6
Stoneham,02840000,"     2,476",     7.4,     4.8,"     2,410",    95.4
Stoughton,02850000,"     3,698",    11.7,     7.8,"     3,524",    92.9
Sturbridge,02870000,       912,     6.8,     4.3,       888,    95.7
Sturgis Charter Public (District),04890000,       855,     5.3,     3.2,       841,    96.3
Sudbury,02880000,"     2,697",     2.6,     2.0,"     2,653",    99.1
Sunderland,02890000,       242,     9.9,     5.4,       233,    93.6
Sutton,02900000,"     1,401",     2.7,     1.8,"     1,378",    98.9
Swampscott,02910000,"     2,267",     4.8,     3.0,"     2,219",    97.3
Swansea,02920000,"     2,158",     5.5,     2.3,"     2,116",    96.6
Tantasqua,07700000,"     1,831",     4.9,     1.4,"     1,821",    96.2
Taunton,02930000,"     8,454",    11.0,     6.6,"     8,029",    95.1
TEC Connections Academy Commonwealth Virtual School District,39020000,"     2,950",    51.1,    36.8,"     2,221",    65.0
Tewksbury,02950000,"     3,505",     4.9,     3.4,"     3,412",    97.7
Tisbury,02960000,       323,    13.0,     9.9,       299,    94.0
Topsfield,02980000,       652,     2.6,     2.0,       641,    99.1
Tri-County Regional Vocational Technical,08780000,"     1,031",     2.9,     0.2,"     1,031",    97.1
Triton,07730000,"     2,499",     7.0,     3.7,"     2,450",    94.8
Truro,03000000,       111,     5.4,     4.5,       106,    99.1
Tyngsborough,03010000,"     1,687",     4.9,     3.0,"     1,650",    97.3
UP Academy Charter School of Boston (District),04800000,       572,    26.0,    17.8,       537,    78.8
UP Academy Charter School of Dorchester (District),35050000,       762,    19.7,    14.6,       745,    82.1
Up-Island Regional,07740000,       427,     9.1,     5.2,       417,    93.5
