District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Triton,07730000,"     2,280",     6.0,     2.8,"     2,252",    95.2
Four Rivers Charter Public (District),04130000,       188,     6.9,     2.7,       184,    95.1
Greenfield,01140000,"     1,280",     8.0,     4.8,"     1,239",    95.1
Clarksburg,00630000,       183,     6.6,     1.6,       180,    95.0
Monson,01910000,       875,     8.1,     4.1,       846,    95.0
Pioneer Valley,07500000,       724,     8.0,     5.8,       701,    95.0
Leverett,01540000,       121,     8.3,     3.3,       117,    94.9
Marblehead Community Charter Public (District),04640000,       198,     6.1,     3.0,       196,    94.9
Falmouth,00960000,"     2,720",     6.9,     4.1,"     2,675",    94.8
Oak Bluffs,02210000,       281,     8.9,     6.0,       270,    94.8
Agawam,00050000,"     3,227",     6.9,     3.2,"     3,175",    94.7
Berkshire Arts and Technology Charter Public (District),04140000,       271,     7.0,     1.8,       266,    94.7
Orleans,02240000,       191,     5.8,     1.6,       190,    94.7
Somerville,02740000,"     1,920",     8.1,     5.2,"     1,875",    94.7
Chicopee,00610000,"     3,999",     8.8,     4.6,"     3,876",    94.6
Salem,02580000,"     1,805",    10.1,     5.5,"     1,722",    94.6
Amesbury,00070000,"     1,830",     8.7,     3.7,"     1,775",    94.5
Cambridge,00490000,"     2,933",     8.2,     5.1,"     2,855",    94.5
Dennis-Yarmouth,06450000,"     2,104",     8.4,     4.6,"     2,039",    94.5
Whately,03370000,       128,     6.3,     1.6,       127,    94.5
Boylston,00390000,       255,     7.8,     6.7,       249,    94.4
Georgetown,01050000,"     1,335",     6.5,     4.9,"     1,322",    94.4
Hill View Montessori Charter Public (District),04550000,       216,     6.5,     2.3,       214,    94.4
Ralph C Mahar,07550000,       664,     9.2,     4.2,       641,    94.4
Stoughton,02850000,"     1,932",     8.6,     5.6,"     1,874",    94.4
Up-Island Regional,07740000,       341,     7.3,     3.8,       337,    94.4
Uxbridge,03040000,"     1,616",     9.0,     5.4,"     1,559",    94.4
Veritas Preparatory Charter School (District),04980000,        18,     5.6,     0.0,        18,    94.4
Attleboro,00160000,"     4,140",     8.8,     5.5,"     4,030",    94.3
Hull,01420000,       856,     7.2,     3.2,       842,    94.3
Northeast Metropolitan Regional Vocational Technical,08530000,       768,     7.0,     2.6,       757,    94.3
Winchendon,03430000,"     1,121",     9.5,     4.3,"     1,082",    94.3
Framingham,01000000,"     5,173",     9.8,     6.2,"     4,964",    94.2
North Brookfield,02150000,       541,     9.4,     4.4,       520,    94.2
Pioneer Charter School of Science II (PCSS-II) (District),35060000,       107,     8.4,     3.7,       104,    94.2
Wrentham,03500000,       894,     7.5,     5.5,       878,    94.2
Gardner,01030000,"     1,614",    10.3,     5.0,"     1,549",    94.1
Lowell Community Charter Public (District),04560000,        34,     5.9,     2.9,        34,    94.1
New Bedford,02010000,"     5,351",    10.6,     5.9,"     5,139",    94.1
South Shore Charter Public (District),04880000,       522,     7.9,     4.8,       511,    94.1
Adams-Cheshire,06030000,"     1,094",    10.1,     6.2,"     1,046",    94.0
Avon,00180000,       371,     7.3,     2.2,       366,    94.0
Berlin,00280000,       171,     8.8,     5.8,       166,    94.0
West Springfield,03320000,"     2,819",     8.6,     4.4,"     2,747",    94.0
Gateway,06720000,       812,    11.5,     8.3,       767,    93.9
Tisbury,02960000,       189,    10.1,     6.3,       181,    93.9
Martha's Vineyard,07000000,       467,     7.5,     2.1,       461,    93.7
Weymouth,03360000,"     4,437",     9.2,     6.6,"     4,303",    93.7
North Adams,02090000,"     1,202",    11.1,     5.7,"     1,148",    93.6
