District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Boston Renaissance Charter Public (District),04810000,        14,     0.0,     0.0,        14,   100.0
Community Day Charter Public School - Gateway (District),04260000,         9,     0.0,     0.0,         9,   100.0
Community Day Charter Public School - Prospect (District),04400000,         7,     0.0,     0.0,         7,   100.0
Conservatory Lab Charter (District),04390000,        21,     4.8,     4.8,        20,   100.0
Dover,00780000,       362,     2.8,     2.8,       352,   100.0
Holyoke Community Charter (District),04530000,        32,     0.0,     0.0,        32,   100.0
Lawrence Family Development Charter (District),04540000,         8,     0.0,     0.0,         8,   100.0
Ma Academy for Math and Science,04680000,        37,     0.0,     0.0,        37,   100.0
Martin Luther King Jr. Charter School of Excellence (District),04920000,         8,    12.5,    12.5,         7,   100.0
Nahant,01960000,       141,     1.4,     1.4,       139,   100.0
Phoenix Academy Public Charter High School Lawrence (District),35180000,        10,    60.0,    60.0,         4,   100.0
Rowe,02530000,        61,     0.0,     0.0,        61,   100.0
Savoy,02630000,        55,     1.8,     1.8,        54,   100.0
Whately,03370000,       121,     1.7,     1.7,       119,   100.0
Middleton,01840000,       615,     2.3,     2.0,       603,    99.7
Greater Lawrence Regional Vocational Technical,08230000,       226,     0.9,     0.4,       225,    99.6
Hanover,01220000,"     2,511",     1.5,     1.1,"     2,484",    99.6
Lynnfield,01640000,"     1,839",     1.0,     0.6,"     1,829",    99.6
Boxford,00380000,       648,     1.4,     1.1,       642,    99.5
Hill View Montessori Charter Public (District),04550000,       207,     2.4,     2.4,       203,    99.5
Wayland,03150000,"     1,881",     1.2,     0.8,"     1,867",    99.5
Westwood,03350000,"     2,341",     1.4,     1.0,"     2,323",    99.5
Lenox,01520000,       640,     2.0,     1.6,       631,    99.4
Berkley,00270000,       863,     1.9,     1.3,       854,    99.2
Concord,00670000,"     1,575",     2.7,     1.8,"     1,549",    99.2
Leverett,01540000,       123,     0.8,     0.0,       123,    99.2
