District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Boston Renaissance Charter Public (District),04810000,   7.0,   5.1,   7.2,   8.7,  17.7,  26.3,,,,,,,  10.8
Bourne,00360000,  19.2,  17.2,   6.9,  12.3,   9.6,  17.3,  10.9,   5.5,  47.4,   7.9,   2.7,   1.8,  14.1
Boxford,00380000,  10.9,  10.8,   6.8,   9.7,   9.4,   8.4,,,,,,,   9.4
Braintree,00400000,   7.9,   8.8,   8.1,   5.0,   7.2,   4.5,   6.2,   6.5,  19.3,   4.7,   2.3,   0.9,   6.8
Brewster,00410000,   6.5,  20.0,  14.0,   6.1,   7.8,,,,,,,,  10.6
Bridge Boston Charter School (District),04170000,   5.6,   8.3,   5.0,   5.0,  12.5,  11.8,  20.6,   9.1,,,,,   9.6
Bridgewater-Raynham,06250000,  11.8,   5.8,   4.7,   7.4,   3.2,   2.7,   5.6,   3.3,  27.8,   4.3,   2.5,   3.2,   6.9
Brimfield,00430000,  15.2,  21.4,   7.3,   7.9,  15.6,   2.2,,,,,,,  10.9
Bristol County Agricultural,09100000,,,,,,,,,,   4.1,   3.6,   1.0,   3.0
Bristol-Plymouth Regional Vocational Technical,08100000,,,,,,,,,,   2.9,   3.5,   3.6,   3.3
Brockton,00440000,   5.6,   7.1,   4.9,   4.9,   5.4,  13.1,   5.2,   3.5,  24.7,   5.0,   3.4,   3.0,   7.4
Brooke Charter School (District),04280000,   3.2,   4.3,   3.7,   4.4,   8.2,   5.5,  16.1,   8.3,  15.3,   5.5,  10.5,   4.3,   7.5
Brookfield,00450000,  17.1,  13.5,   4.9,  12.8,   0.0,  16.7,,,,,,,  10.8
Brookline,00460000,  22.4,  18.5,  14.5,  16.8,  16.4,  14.4,  15.9,  11.2,  14.5,   7.8,   7.3,   2.9,  13.8
Burlington,00480000,   6.1,   5.2,   4.8,   4.7,   3.5,   5.3,   5.7,   5.2,  24.3,   4.0,   2.6,   0.8,   6.1
Cambridge,00490000,  15.9,  11.7,  10.0,   9.9,   9.7,  16.5,   7.6,   9.2,  10.0,   5.3,   5.6,   3.1,   9.8
Canton,00500000,  11.8,   6.3,   7.4,   5.0,   5.2,   6.9,   6.4,   6.0,  13.4,   3.3,   0.8,   1.5,   6.1
Cape Cod Lighthouse Charter (District),04320000,,,,,,,   2.5,   3.8,,,,,   3.1
Cape Cod Regional Vocational Technical,08150000,,,,,,,,,,   4.3,   3.9,   2.2,   3.5
Carlisle,00510000,   8.0,  11.5,   1.5,   4.3,   8.1,   6.3,   2.6,   3.0,,,,,   5.4
