School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Ashburnham-Westminster - Briggs Elementary,06100025,  14.3,   6.1,  12.0,   9.0,   5.5,,,,,,,,   9.3
Ashburnham-Westminster - Meetinghouse School,06100010,  10.1,,,,,,,,,,,,  10.1
Ashburnham-Westminster - Oakmont Regional High School,06100505,,,,,,,,,,   9.7,   7.1,   2.3,   6.3
Ashburnham-Westminster - Overlook Middle School,06100305,,,,,,,   6.7,   7.4,,,,,   7.0
Ashburnham-Westminster - Westminster Elementary,06100005,,,  12.3,   6.4,   5.6,,,,,,,,   7.8
Ashland - Ashland High,00140505,,,,,,,,,,   3.4,   1.8,   1.9,   2.3
Ashland - Ashland Middle,00140405,,,,,,,   5.2,   4.0,,,,,   4.6
Ashland - David Mindess,00140015,,,,   7.3,   2.9,,,,,,,,   5.2
Ashland - Henry E Warren Elementary,00140010,  11.1,  12.5,,,,,,,,,,,  11.8
Ashland - William Pittaway Elementary,00140005,,,,,,,,,,,,,
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,,,,,,,,,,   2.4,   2.4,   1.5,   2.1
Athol-Royalston - Athol Community Elementary School,06150020,  17.0,  19.8,  12.8,  12.7,,,,,,,,,  15.5
Athol-Royalston - Athol High,06150505,,,,,,,,,,  10.4,   2.5,   1.2,   4.6
Athol-Royalston - Athol-Royalston Middle School,06150305,,,,,,   5.3,  12.4,   5.4,,,,,   7.7
Athol-Royalston - Royalston Community School,06150050,   5.0,   9.1,  13.6,  10.0,   8.3,  14.3,,,,,,,  10.1
Atlantis Charter (District) - Atlantis Charter School,04910550,   4.6,   0.9,   0.9,   2.7,   0.9,   0.9,   1.8,   0.9,  57.3,   5.7,   2.6,   6.6,   7.3
Attleboro - A. Irvin Studley Elementary School,00160001,  32.5,   9.9,   5.6,   8.1,,,,,,,,,  14.5
Attleboro - Attleboro Community Academy,00160515,,,,,,,,,,,  28.6,   0.0,   6.3
Attleboro - Attleboro High,00160505,,,,,,,,,,   5.4,   3.0,   1.4,   3.3
Attleboro - Cyril K. Brennan Middle School,00160315,,,,,,   7.1,   7.1,   5.4,,,,,   6.5
Attleboro - Early Learning Center,00160008,,,,,,,,,,,,,
Attleboro - Hill-Roberts Elementary School,00160045,  10.8,   6.0,   5.3,   2.2,,,,,,,,,   6.1
Attleboro - Hyman Fine Elementary School,00160040,   7.7,  11.4,   3.1,   9.7,,,,,,,,,   7.9
