District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Boston Renaissance Charter Public (District),04810000,  11.1,   6.0,   9.0,   8.8,  28.9,  21.4,,,,,,,  13.4
Bourne,00360000,   5.9,   3.5,   8.1,   3.2,   6.0,   3.5,   5.6,   8.5,  43.4,   6.7,   3.6,   3.2,   9.0
Boxford,00380000,   2.6,   3.5,   2.9,   2.6,   3.2,   3.8,,,,,,,   3.1
Braintree,00400000,   4.0,   4.6,   5.7,   5.1,   3.8,   4.1,   4.5,   3.9,  16.1,   1.9,   2.3,   1.9,   4.9
Brewster,00410000,   0.0,   1.8,   3.6,   4.0,   2.4,,,,,,,,   2.5
Bridge Boston Charter School (District),04170000,  13.9,   5.0,   5.0,   2.5,  17.5,  12.5,  36.1,  12.5,,,,,  12.8
Bridgewater-Raynham,06250000,   4.6,   4.2,   3.1,   3.1,   1.8,   3.6,   1.7,   3.0,  31.6,   3.4,   3.3,   2.2,   5.6
Brimfield,00430000,   3.7,   5.7,   5.3,   6.5,   9.3,   4.8,,,,,,,   6.0
Bristol County Agricultural,09100000,,,,,,,,,,   6.0,   1.8,   3.6,   3.8
Bristol-Plymouth Regional Vocational Technical,08100000,,,,,,,,,,   2.6,   4.0,   1.7,   2.8
Brockton,00440000,   7.5,   6.9,   7.1,   5.8,   6.1,  13.4,   6.9,   5.9,  23.0,   7.1,   6.7,   6.3,   8.7
Brooke Charter School (District),04280000,   2.8,   3.3,   2.8,   4.3,   9.3,   7.2,  16.0,   7.3,  25.1,  12.0,   5.5,   4.9,   8.6
Brookfield,00450000,   2.8,  12.2,   5.3,   8.9,   2.4,   5.6,,,,,,,   6.3
Brookline,00460000,  11.3,  10.4,  11.2,  11.6,   9.2,  10.9,   9.8,   7.7,   9.9,   4.3,   5.7,   3.9,   9.0
Burlington,00480000,   4.7,   4.4,   3.3,   3.9,   5.3,   4.0,   1.9,   2.8,  20.7,   4.5,   2.1,   1.2,   4.9
Cambridge,00490000,  10.7,   8.3,   9.0,   9.6,   8.1,  18.7,   5.8,   6.2,   8.6,   6.0,   5.7,   2.3,   8.3
Canton,00500000,   3.4,   4.8,   1.6,   5.0,   4.9,   4.5,   6.5,   4.8,  17.7,   2.4,   3.1,   0.8,   4.9
Cape Cod Lighthouse Charter (District),04320000,,,,,,,   8.6,   6.3,,,,,   7.5
Cape Cod Regional Vocational Technical,08150000,,,,,,,,,,   5.7,   2.0,   3.9,   3.9
Carlisle,00510000,   3.6,   1.6,   0.0,   5.0,   6.3,   1.3,   3.1,   1.4,,,,,   2.7
