ORG4CODE,DISTRICT_ID,DISTRICT_N,TOTAL_POPULATION,RLVNT_POP,POV_HOUSEHOLD,PERCENT,,,,,,,,
0730,08910,Northborough-Southborough    ,24932,1679,46,2.7%,,,,,,,,
0213,08880,Northborough    ,14770,1924,75,3.9%,,,,,,,,
0214,08940,Northbridge    ,16335,2745,218,7.9%,,,,,,,,
0218,09000,Norton    ,19614,3220,164,5.1%,,,,,,,,
0219,09030,Norwell    ,11072,2198,50,2.3%,,,,,,,,
0220,09060,Norwood    ,30137,3899,316,8.1%,,,,,,,,
0740,09150,Old Rochester    ,17041,1330,66,5.0%,,,,,,,,
0223,09180,Orange    ,7707,588,96,16.3%,,,,,,,,
0226,09270,Oxford    ,14260,2285,295,12.9%,,,,,,,,
0227,09300,Palmer    ,12214,1784,181,10.1%,,,,,,,,
0229,09360,Peabody    ,54441,6944,586,8.4%,,,,,,,,
0231,09420,Pembroke    ,18788,3318,115,3.5%,,,,,,,,
0745,09450,Pentucket    ,18075,3369,96,2.8%,,,,,,,,
0234,09540,Petersham    ,1285,77,9,11.7%,,,,,,,,
0750,09600,Pioneer Valley    ,6543,939,56,6.0%,,,,,,,,
0236,09630,Pittsfield    ,43997,5641,1010,17.9%,,,,,,,,
0238,09690,Plainville    ,8715,717,37,5.2%,,,,,,,,
0239,09720,Plymouth    ,59465,8454,705,8.3%,,,,,,,,
0240,09780,Plympton    ,2990,234,13,5.6%,,,,,,,,
0242,09840,Provincetown    ,2903,122,25,20.5%,,,,,,,,
0753,00001,Quabbin    ,16320,2852,224,7.9%,,,,,,,,
0778,12100,Quaboag,9139,1410,97,6.9%,,,,,,,,
0243,09870,Quincy    ,97186,9826,1173,11.9%,,,,,,,,
0755,09900,Ralph C Mahar    ,10799,783,88,11.2%,,,,,,,,
0244,09930,Randolph    ,33813,4857,614,12.6%,,,,,,,,
0246,09990,Reading    ,25700,4582,111,2.4%,,,,,,,,
0248,10050,Revere    ,57568,7602,1752,23.0%,,,,,,,,
0249,10080,Richmond    ,1411,102,25,24.5%,,,,,,,,
0250,10140,Rochester    ,5508,524,30,5.7%,,,,,,,,
0251,10170,Rockland    ,18406,2595,289,11.1%,,,,,,,,
0252,10200,Rockport    ,7382,889,75,8.4%,,,,,,,,
0258,10380,Salem    ,43866,5159,789,15.3%,,,,,,,,
0261,10470,Sandwich    ,20399,3388,162,4.8%,,,,,,,,
0262,10500,Saugus    ,28280,3721,289,7.8%,,,,,,,,
0264,10560,Scituate    ,19098,3284,154,4.7%,,,,,,,,
0265,10590,Seekonk    ,14139,2281,169,7.4%,,,,,,,,
0266,10620,Sharon    ,18491,3778,90,2.4%,,,,,,,,
0271,10770,Shrewsbury    ,36752,6555,219,3.3%,,,,,,,,
0760,10830,Silver Lake    ,24202,1883,93,4.9%,,,,,,,,
0763,00541,Somerset Berkley    ,25322,1306,65,5.0%,,,,,,,,
0274,10890,Somerville    ,81161,5552,669,12.0%,,,,,,,,
0278,10920,South Hadley    ,17830,1971,165,8.4%,,,,,,,,
0277,11010,Southbridge    ,17382,2616,588,22.5%,,,,,,,,
0765,11040,Southern Berkshire    ,7245,868,75,8.6%,,,,,,,,
0766,00013,Southwick-Tolland-Granville,11623,1847,132,7.1%,,,,,,,,
0767,00002,Spencer-East Brookfield    ,14457,2073,206,9.9%,,,,,,,,
0281,11130,Springfield    ,154041,27208,7293,26.8%,,,,,,,,
0284,11220,Stoneham    ,22841,3122,145,4.6%,,,,,,,,
0285,11250,Stoughton    ,28436,4084,354,8.7%,,,,,,,,
0290,11400,Sutton    ,9336,1722,63,3.7%,,,,,,,,
0291,11430,Swampscott    ,18264,2474,109,4.4%,,,,,,,,
