District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Plainville,02380000,       734,     5.9,     3.8,       710,    97.3
Plymouth,02390000,"     7,575",     6.2,     3.8,"     7,361",    97.1
Plympton,02400000,       222,     3.6,     1.4,       220,    97.3
Prospect Hill Academy Charter (District),04870000,"     1,149",     7.4,     3.4,"     1,131",    94.1
Provincetown,02420000,       145,    16.6,    11.7,       135,    89.6
Quabbin,07530000,"     2,247",     8.6,     4.4,"     2,179",    94.4
Quaboag Regional,07780000,"     1,282",    10.3,     6.6,"     1,241",    92.7
Quincy,02430000,"    10,110",    12.5,     8.7,"     9,664",    92.0
Ralph C Mahar,07550000,       649,     6.5,     3.2,       634,    95.7
Randolph,02440000,"     3,010",    16.9,    12.6,"     2,758",    90.8
Reading,02460000,"     4,207",     3.7,     2.8,"     4,160",    97.5
Revere,02480000,"     7,935",    12.1,     7.0,"     7,592",    92.9
Richmond,02490000,       177,     7.9,     5.1,       172,    94.8
Rising Tide Charter Public (District),04830000,       672,     7.9,     3.6,       663,    93.4
River Valley Charter (District),04820000,       292,     3.1,     1.7,       288,    98.3
Rochester,02500000,       519,     5.0,     3.1,       514,    95.9
Rockland,02510000,"     2,393",     9.2,     5.2,"     2,318",    93.8
Rockport,02520000,       870,     4.9,     2.8,       853,    97.0
Rowe,02530000,        73,     0.0,     0.0,        73,   100.0
Roxbury Preparatory Charter (District),04840000,"     1,662",    13.8,     5.2,"     1,623",    88.3
Sabis International Charter (District),04410000,"     1,626",     8.4,     5.4,"     1,588",    93.8
Salem,02580000,"     3,827",    11.8,     7.0,"     3,666",    92.6
Salem Academy Charter (District),04850000,       501,     3.6,     1.4,       501,    96.4
Sandwich,02610000,"     2,523",    13.2,    12.1,"     2,474",    88.5
Saugus,02620000,"     2,746",     9.8,     5.3,"     2,644",    93.6
Savoy,02630000,        59,     3.4,     1.7,        58,    98.3
Scituate,02640000,"     3,006",     1.8,     0.8,"     2,984",    99.0
Seekonk,02650000,"     2,121",     3.6,     2.3,"     2,084",    98.1
Seven Hills Charter Public (District),04860000,       693,     6.5,     2.7,       678,    95.6
Sharon,02660000,"     3,666",     2.6,     1.8,"     3,612",    98.9
Shawsheen Valley Regional Vocational Technical,08710000,"     1,274",     2.3,     1.0,"     1,267",    98.3
