District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Groton-Dunstable,06730000,"     2,476",     3.5,     2.6,"     2,423",    98.7
Hadley,01170000,       551,     6.9,     3.4,       534,    96.1
Halifax,01180000,       605,     1.7,     1.5,       597,    99.7
Hamilton-Wenham,06750000,"     1,800",     4.0,     2.1,"     1,781",    97.1
Hampden Charter School of Science East (District),04990000,       507,     7.5,     3.9,       496,    94.6
Hampden-Wilbraham,06800000,"     3,144",     4.7,     2.7,"     3,071",    97.7
Hampshire,06830000,       716,     3.8,     2.0,       704,    97.9
Hancock,01210000,        44,     2.3,     2.3,        44,    97.7
Hanover,01220000,"     2,638",     1.6,     1.1,"     2,610",    99.5
Harvard,01250000,"     1,128",     4.5,     3.2,"     1,096",    98.3
Hatfield,01270000,       449,     4.9,     3.1,       437,    97.7
Haverhill,01280000,"     8,001",    14.4,     8.5,"     7,541",    92.2
Hawlemont,06850000,       170,    10.0,     4.1,       165,    92.7
Helen Y. Davis Leadership Academy Charter Public (District),04190000,       232,    22.8,    15.5,       216,    82.9
Hill View Montessori Charter Public (District),04550000,       307,     6.2,     3.9,       306,    94.1
Hilltown Cooperative Charter Public (District),04500000,       218,     0.5,     0.5,       218,    99.5
Hingham,01310000,"     4,336",     2.7,     1.9,"     4,301",    98.1
Holbrook,01330000,"     1,279",     9.9,     6.3,"     1,216",    94.7
Holland,01350000,       240,     4.2,     2.1,       236,    97.5
Holliston,01360000,"     2,958",     3.4,     2.2,"     2,907",    98.3
Holyoke,01370000,"     6,092",    23.5,    13.7,"     5,452",    87.1
Holyoke Community Charter (District),04530000,       729,     8.0,     4.7,       702,    95.6
Hopedale,01380000,"     1,165",     3.6,     1.9,"     1,146",    98.0
Hopkinton,01390000,"     3,629",     4.4,     3.3,"     3,520",    98.6
Hudson,01410000,"     2,731",     7.4,     4.2,"     2,643",    95.9
Hull,01420000,       946,     8.0,     5.4,       902,    96.5
Innovation Academy Charter (District),04350000,       807,     2.2,     0.6,       803,    98.3
Ipswich,01440000,"     1,772",     4.7,     2.5,"     1,745",    96.8
King Philip,06900000,"     2,070",     3.1,     1.7,"     2,043",    98.2
Kingston,01450000,"     1,066",     6.8,     3.9,"     1,026",    96.9
KIPP Academy Boston Charter School (District),04630000,       579,    11.2,     7.3,       571,    90.0
KIPP Academy Lynn Charter (District),04290000,"     1,370",     7.6,     4.5,"     1,354",    93.5
Lanesborough,01480000,       218,     5.0,     3.2,       214,    96.7
Lawrence,01490000,"    15,410",    21.9,    14.3,"    14,256",    86.1
Lawrence Family Development Charter (District),04540000,       740,     1.5,     0.8,       739,    98.6
Lee,01500000,       721,     8.6,     5.7,       694,    95.0
Leicester,01510000,"     1,629",     8.2,     4.7,"     1,576",    94.9
Lenox,01520000,       769,     4.2,     1.6,       761,    96.8
Leominster,01530000,"     6,411",    13.6,     8.7,"     6,028",    93.3
Leverett,01540000,       129,     2.3,     1.6,       127,    99.2
Lexington,01550000,"     7,446",     4.8,     3.0,"     7,266",    97.8
Libertas Academy Charter School (District),35140000,        95,    20.0,    12.6,        90,    84.4
Lincoln,01570000,"     1,266",    18.2,     7.0,"     1,197",    86.5
Lincoln-Sudbury,06950000,"     1,536",     2.0,     0.7,"     1,529",    98.5
Littleton,01580000,"     1,692",     3.2,     1.8,"     1,665",    98.4
Longmeadow,01590000,"     2,929",     3.4,     2.2,"     2,881",    98.2
Lowell,01600000,"    15,681",    14.6,     7.9,"    14,720",    92.3
Lowell Community Charter Public (District),04560000,       821,     5.1,     2.3,       818,    95.2
Lowell Middlesex Academy Charter (District),04580000,       144,    56.9,    27.1,       119,    52.1
Ludlow,01610000,"     2,737",     6.1,     3.3,"     2,672",    96.1
Lunenburg,01620000,"     1,691",     6.4,     3.7,"     1,654",    95.6
Lynn,01630000,"    16,630",    15.1,     9.5,"    15,619",    91.9
Lynnfield,01640000,"     2,239",     2.5,     1.2,"     2,219",    98.4
Ma Academy for Math and Science,04680000,        97,     1.0,     0.0,        97,    99.0
Malden,01650000,"     7,147",    18.5,    13.6,"     6,605",    88.4
Manchester Essex Regional,06980000,"     1,395",     2.2,     0.4,"     1,392",    98.1
Mansfield,01670000,"     3,971",     4.6,     2.8,"     3,878",    97.7
Marblehead,01680000,"     3,178",     4.6,     2.8,"     3,104",    97.7
Marblehead Community Charter Public (District),04640000,       236,     5.1,     2.5,       230,    97.4
Marion,01690000,       464,     3.9,     2.4,       457,    97.6
Marlborough,01700000,"     4,965",    14.4,     9.5,"     4,591",    93.0
Marshfield,01710000,"     4,252",     3.9,     2.3,"     4,188",    97.7
Martha's Vineyard,07000000,       662,     8.3,     5.0,       637,    95.3
