District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Plymouth,02390000,"     7,746",     6.0,     3.3,"     7,536",    97.1
Plympton,02400000,       209,     4.8,     1.9,       208,    95.7
Prospect Hill Academy Charter (District),04870000,"     1,180",     6.4,     3.9,"     1,147",    96.3
Provincetown,02420000,       132,    18.2,    10.6,       120,    90.0
Quabbin,07530000,"     2,314",     7.8,     3.6,"     2,248",    95.1
Quaboag Regional,07780000,"     1,400",     8.6,     4.1,"     1,359",    94.2
Quincy,02430000,"     9,895",    11.9,     7.5,"     9,423",    93.1
Ralph C Mahar,07550000,       819,    11.2,     7.3,       768,    94.9
Randolph,02440000,"     3,067",    17.9,    12.2,"     2,837",    89.2
Reading,02460000,"     4,262",     3.6,     2.5,"     4,214",    97.6
Revere,02480000,"     8,066",    14.4,     8.9,"     7,611",    91.5
Richmond,02490000,       183,     4.4,     4.4,       179,    97.8
Rising Tide Charter Public (District),04830000,       679,     3.7,     0.0,       679,    96.3
River Valley Charter (District),04820000,       292,     2.7,     1.0,       292,    97.3
Rochester,02500000,       517,     5.8,     3.9,       501,    97.2
Rockland,02510000,"     2,344",    11.6,     6.9,"     2,221",    94.5
Rockport,02520000,       926,     2.7,     2.6,       905,    99.6
Rowe,02530000,        73,     6.8,     0.0,        73,    93.2
Roxbury Preparatory Charter (District),04840000,"     1,516",    15.8,     7.8,"     1,465",    87.1
Sabis International Charter (District),04410000,"     1,615",     8.4,     5.8,"     1,581",    93.5
Salem,02580000,"     4,081",    16.1,     9.1,"     3,799",    90.9
Salem Academy Charter (District),04850000,       482,     3.7,     1.0,       479,    96.9
Sandwich,02610000,"     2,668",     5.0,     3.0,"     2,610",    97.1
Saugus,02620000,"     2,777",    10.9,     6.3,"     2,632",    94.0
Savoy,02630000,        59,    18.6,    15.3,        58,    82.8
Scituate,02640000,"     3,023",     2.8,     1.5,"     2,988",    98.4
Seekonk,02650000,"     2,063",     4.8,     3.2,"     2,007",    97.9
Seven Hills Charter Public (District),04860000,       702,    11.3,     4.8,       683,    91.2
Sharon,02660000,"     3,608",     4.0,     2.7,"     3,544",    97.8
Shawsheen Valley Regional Vocational Technical,08710000,"     1,329",     2.7,     1.1,"     1,327",    97.4
Sherborn,02690000,       434,     2.5,     1.4,       430,    98.4
Shrewsbury,02710000,"     6,420",     7.4,     5.1,"     6,239",    95.4
Shutesbury,02720000,       128,     7.0,     5.5,       123,    96.7
Silver Hill Horace Mann Charter (District),04770000,       569,     4.4,     1.6,       567,    95.9
Silver Lake,07600000,"     1,909",     5.5,     3.2,"     1,856",    97.2
Sizer School: A North Central Charter Essential (District),04740000,       379,    16.1,     6.1,       361,    88.1
Somerset,02730000,"     1,857",     6.6,     3.9,"     1,796",    96.8
