District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Monomoy Regional School District,07120000,       863,    12.6,     8.8,       813,    92.7
Monson,01910000,       398,    14.1,     9.8,       365,    93.7
Montachusett Regional Vocational Technical,08320000,       560,     5.7,     1.3,       560,    94.3
Mount Greylock,07150000,       142,     7.7,     4.2,       137,    95.6
Mystic Valley Regional Charter (District),04700000,       548,     4.2,     2.2,       543,    96.7
Nahant,01960000,        43,     7.0,     2.3,        42,    95.2
Nantucket,01970000,       825,    15.6,    10.7,       770,    90.4
Narragansett,07200000,       631,     6.3,     1.4,       624,    94.7
Nashoba,07250000,       834,    12.0,     6.5,       800,    92.0
Nashoba Valley Regional Vocational Technical,08520000,       376,     4.5,     1.6,       374,    96.0
Natick,01980000,"     1,447",    12.9,     8.9,"     1,378",    91.6
Nauset,06600000,       555,     6.7,     3.8,       538,    96.3
Needham,01990000,"     1,391",     5.5,     2.9,"     1,358",    97.0
Neighborhood House Charter (District),04440000,       332,    20.5,    16.3,       299,    88.3
New Bedford,02010000,"    11,311",    18.3,    10.8,"    10,430",    90.9
New Heights Charter School of Brockton (District),35130000,       278,    27.7,    14.4,       263,    76.4
New Salem-Wendell,07280000,        74,     9.5,     6.8,        70,    95.7
Newburyport,02040000,       608,    10.5,     7.1,       578,    94.1
Newton,02070000,"     4,610",     9.0,     5.6,"     4,412",    95.2
Norfolk,02080000,       248,     7.7,     6.0,       233,    98.3
Norfolk County Agricultural,09150000,       201,     6.0,     0.0,       201,    94.0
North Adams,02090000,"     1,098",    20.0,    12.0,"     1,033",    85.9
North Andover,02110000,"     1,492",    10.9,     7.8,"     1,408",    94.6
North Attleborough,02120000,"     1,451",    12.8,     6.5,"     1,381",    91.7
North Brookfield,02150000,       306,    15.7,     8.8,       282,    91.5
North Middlesex,07350000,"     1,227",    12.8,     8.4,"     1,169",    91.6
North Reading,02170000,       679,     7.8,     4.4,       650,    96.9
Northampton,02100000,"     1,159",    13.5,     8.5,"     1,073",    93.9
Northampton-Smith Vocational Agricultural,04060000,       306,     5.2,     1.6,       302,    96.0
Northboro-Southboro,07300000,       337,    10.4,     5.0,       324,    93.2
Northborough,02130000,       554,     6.7,     2.9,       541,    95.9
Northbridge,02140000,       953,    14.3,     8.6,       888,    92.0
Northeast Metropolitan Regional Vocational Technical,08530000,       687,     6.3,     2.5,       684,    94.2
Northern Berkshire Regional Vocational Technical,08510000,       229,     7.4,     3.1,       224,    94.6
Norton,02180000,       841,     8.0,     4.3,       808,    96.0
Norwell,02190000,       453,    10.6,     7.5,       435,    93.1
Norwood,02200000,"     1,714",    13.9,     9.0,"     1,593",    92.8
Oak Bluffs,02210000,       247,    16.2,    12.1,       231,    89.6
Old Colony Regional Vocational Technical,08550000,       210,     7.6,     2.4,       207,    93.7
Old Rochester,07400000,       300,     9.3,     3.7,       292,    93.2
Old Sturbridge Academy Charter Public School (District),35150000,        73,     5.5,     2.7,        71,    97.2
Orange,02230000,       435,    19.1,    12.0,       412,    85.4
Orleans,02240000,       106,    10.4,     7.5,       100,    95.0
Oxford,02260000,       798,    12.4,     7.4,       752,    93.0
Palmer,02270000,       853,    17.9,    11.8,       780,    89.7
Pathfinder Regional Vocational Technical,08600000,       357,     5.6,     2.2,       349,    96.6
Paulo Freire Social Justice Charter School (District),35010000,       265,    22.3,    16.6,       224,    92.0
Peabody,02290000,"     3,172",    15.1,     9.0,"     2,932",    92.7
Pelham,02300000,        56,     7.1,     1.8,        56,    92.9
Pembroke,02310000,       770,     7.4,     3.0,       748,    95.5
Pentucket,07450000,       755,    10.6,     6.5,       722,    93.9
Petersham,02340000,        55,     3.6,     0.0,        55,    96.4
Phoenix Academy Public Charter High School Springfield (District),35080000,       235,    59.6,    34.0,       194,    49.0
Phoenix Charter Academy (District),04930000,       233,    53.6,    34.3,       190,    56.8
Pioneer Charter School of Science (District),04940000,       464,    11.9,     9.1,       448,    91.3
Pioneer Charter School of Science II (PCSS-II) (District),35060000,       225,    15.1,     8.0,       214,    89.3
Pioneer Valley,07500000,       313,    10.9,     7.0,       303,    92.1
Pioneer Valley Chinese Immersion Charter (District),04970000,       126,     0.0,     0.0,       126,   100.0
Pioneer Valley Performing Arts Charter Public (District),04790000,       165,    11.5,     6.1,       159,    91.8
Pittsfield,02360000,"     3,686",    12.6,     6.9,"     3,502",    93.2
Plainville,02380000,       253,    11.9,     8.7,       235,    94.9
Plymouth,02390000,"     3,145",    10.1,     6.0,"     2,996",    95.1
Plympton,02400000,        81,     8.6,     3.7,        81,    91.4
Prospect Hill Academy Charter (District),04870000,       719,     8.1,     4.9,       694,    95.2
Provincetown,02420000,        88,    18.2,     9.1,        81,    88.9
Quabbin,07530000,       948,    13.2,     6.4,       902,    91.6
Quaboag Regional,07780000,       695,    13.2,     6.5,       664,    90.8
Quincy,02430000,"     5,959",    16.0,    10.7,"     5,556",    91.0
Ralph C Mahar,07550000,       413,    16.0,     9.7,       381,    91.1
Randolph,02440000,"     2,160",    21.1,    14.4,"     1,962",    87.5
Reading,02460000,"     1,077",     8.4,     5.6,"     1,040",    95.1
Revere,02480000,"     5,678",    17.4,    11.0,"     5,274",    89.9
Richmond,02490000,        50,     6.0,     6.0,        48,    97.9
Rising Tide Charter Public (District),04830000,       190,     5.3,     0.0,       190,    94.7
River Valley Charter (District),04820000,        70,     2.9,     1.4,        70,    97.1
Rochester,02500000,       168,     9.5,     6.0,       159,    95.6
Rockland,02510000,"     1,165",    16.7,    10.6,"     1,069",    92.0
Rockport,02520000,       353,     4.5,     4.2,       339,    99.4
Rowe,02530000,        38,     7.9,     0.0,        38,    92.1
Roxbury Preparatory Charter (District),04840000,"     1,155",    16.1,     8.2,"     1,114",    87.0
Sabis International Charter (District),04410000,       855,     9.9,     6.5,       835,    92.2
Salem,02580000,"     2,695",    20.0,    11.7,"     2,457",    88.8
Salem Academy Charter (District),04850000,       221,     4.5,     0.9,       220,    95.9
Sandwich,02610000,       893,     8.8,     5.2,       861,    94.5
Saugus,02620000,"     1,341",    16.8,     9.8,"     1,229",    90.8
Savoy,02630000,        37,    21.6,    16.2,        37,    78.4
Scituate,02640000,       708,     5.6,     3.1,       691,    96.8
Seekonk,02650000,       681,     9.3,     6.5,       645,    95.8
Seven Hills Charter Public (District),04860000,       560,    10.9,     4.8,       544,    91.7
Sharon,02660000,       913,     7.4,     4.5,       885,    95.7
Shawsheen Valley Regional Vocational Technical,08710000,       495,     4.2,     2.2,       494,    96.0
Sherborn,02690000,        94,     5.3,     1.1,        93,    95.7
Shrewsbury,02710000,"     1,852",    14.0,    10.2,"     1,740",    91.6
Shutesbury,02720000,        56,     5.4,     5.4,        55,    96.4
Silver Hill Horace Mann Charter (District),04770000,       258,     5.4,     2.3,       256,    95.3
Silver Lake,07600000,       589,    11.7,     8.3,       548,    94.9
