District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Douglas,00770000,       455,    11.4,     6.2,       437,    92.2
Dover,00780000,       114,     3.5,     0.9,       113,    97.3
Dover-Sherborn,06550000,       245,     3.7,     1.6,       241,    97.9
Dracut,00790000,"     1,471",    16.2,     9.7,"     1,365",    90.6
Dudley Street Neighborhood Charter School (District),04070000,       249,    19.3,     8.4,       238,    84.5
Dudley-Charlton Reg,06580000,"     1,374",    11.1,     6.8,"     1,300",    94.1
Duxbury,00820000,       660,     5.6,     3.9,       638,    97.6
East Bridgewater,00830000,       798,     7.0,     4.1,       772,    96.1
East Longmeadow,00870000,       938,     7.2,     4.6,       910,    95.6
Eastham,00850000,        77,    15.6,    14.3,        67,    97.0
Easthampton,00860000,       731,    10.7,     6.0,       698,    93.7
Easton,00880000,"     1,134",    10.4,     6.8,"     1,084",    93.8
Edgartown,00890000,       223,    19.7,    14.3,       196,    91.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       295,     9.5,     3.4,       292,    91.4
Erving,00910000,        68,    10.3,     7.4,        63,    96.8
Essex North Shore Agricultural and Technical School District,08170000,       479,     2.7,     0.8,       476,    97.9
Everett,00930000,"     5,730",    21.6,    12.1,"     5,271",    86.4
Excel Academy Charter (District),04100000,       787,     7.5,     4.3,       775,    93.9
Fairhaven,00940000,       899,    13.6,     7.8,       858,    91.0
Fall River,00950000,"     8,669",    20.5,    12.0,"     7,924",    89.0
Falmouth,00960000,"     1,586",    13.8,     8.4,"     1,510",    90.9
Farmington River Reg,06620000,        65,    15.4,    12.3,        59,    93.2
Fitchburg,00970000,"     4,460",    23.8,    15.7,"     3,976",    86.6
Florida,00980000,        45,    11.1,     8.9,        42,    95.2
Four Rivers Charter Public (District),04130000,        91,     5.5,     2.2,        89,    96.6
Foxborough,00990000,       858,     9.3,     5.5,       822,    94.8
Foxborough Regional Charter (District),04460000,       609,     5.6,     3.4,       598,    96.2
Framingham,01000000,"     5,589",    17.3,    11.2,"     5,154",    90.2
Francis W. Parker Charter Essential (District),04780000,        85,     2.4,     1.2,        84,    98.8
Franklin,01010000,"     1,425",     9.5,     5.7,"     1,366",    94.7
Franklin County Regional Vocational Technical,08180000,       276,     8.3,     2.9,       272,    93.0
Freetown-Lakeville,06650000,       898,    12.4,     7.2,       844,    93.4
Frontier,06700000,       223,    11.7,     7.2,       216,    91.2
Gardner,01030000,"     1,674",    17.9,    11.4,"     1,517",    91.1
Gateway,06720000,       423,    15.1,     8.7,       397,    90.4
Georgetown,01050000,       313,     9.6,     6.1,       308,    91.9
Gill-Montague,06740000,       640,    12.0,     6.7,       611,    92.1
Global Learning Charter Public (District),04960000,       347,     7.8,     4.3,       346,    92.5
Gloucester,01070000,"     1,651",     9.1,     5.9,"     1,576",    95.6
Grafton,01100000,       968,    12.4,     8.1,       916,    92.6
Granby,01110000,       284,    10.6,     8.5,       269,    94.4
