District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),04450000,       898,     5.7,     4.2,       888,    95.4
Abington,00010000,       928,    13.8,     9.2,       872,    91.7
Academy Of the Pacific Rim Charter Public (District),04120000,       390,     7.4,     5.9,       375,    96.3
Acton-Boxborough,06000000,"     1,598",     9.5,     6.5,"     1,513",    95.6
Acushnet,00030000,       396,     8.3,     5.1,       384,    94.8
Advanced Math and Science Academy Charter (District),04300000,       253,     2.4,     1.2,       251,    98.4
Agawam,00050000,"     1,783",    12.8,     8.4,"     1,684",    92.7
Alma del Mar Charter School (District),04090000,       535,    13.3,    10.7,       527,    88.0
Amesbury,00070000,       850,     8.1,     4.0,       824,    95.5
Amherst,00080000,       620,    17.3,    11.9,       573,    90.2
Amherst-Pelham,06050000,       591,     9.6,     4.7,       578,    92.4
Andover,00090000,"     1,915",     7.4,     3.7,"     1,862",    95.7
Argosy Collegiate Charter School (District),35090000,       420,    15.0,     9.0,       416,    85.8
Arlington,00100000,"     1,721",     7.1,     4.4,"     1,662",    96.1
Ashburnham-Westminster,06100000,       842,     7.2,     4.6,       809,    96.5
Ashland,00140000,"     1,072",    10.0,     7.2,"     1,013",    95.3
Assabet Valley Regional Vocational Technical,08010000,       637,     4.2,     1.7,       636,    95.9
Athol-Royalston,06150000,"     1,076",    15.8,     9.7,"     1,009",    90.1
Atlantis Charter (District),04910000,       825,     7.4,     5.0,       804,    95.0
Attleboro,00160000,"     2,999",    14.3,     9.3,"     2,842",    91.7
Auburn,00170000,       899,     6.3,     3.4,       879,    95.8
Avon,00180000,       368,    12.0,     7.1,       350,    92.6
Ayer Shirley School District,06160000,       770,     9.4,     6.1,       742,    94.1
Barnstable,00200000,"     3,137",    17.8,    12.5,"     2,914",    88.7
Baystate Academy Charter Public School (District),35020000,       392,     9.7,     4.1,       380,    93.2
Bedford,00230000,       884,     7.7,     4.8,       867,    94.1
Belchertown,00240000,       832,     8.3,     4.6,       801,    95.3
Bellingham,00250000,       872,    11.6,     6.2,       831,    93.0
Belmont,00260000,"     1,405",    10.2,     7.5,"     1,329",    94.9
Benjamin Banneker Charter Public (District),04200000,       231,     7.4,     5.2,       228,    93.9
Benjamin Franklin Classical Charter Public (District),04470000,       226,     3.1,     1.8,       222,    98.6
Bentley Academy Charter School (District),35110000,       277,     8.3,     1.8,       276,    92.0
Berkley,00270000,       299,     5.4,     4.0,       290,    97.6
Berkshire Arts and Technology Charter Public (District),04140000,       222,    13.1,     5.0,       219,    88.1
Berkshire Hills,06180000,       565,     8.1,     5.0,       542,    95.8
Berlin-Boylston,06200000,       339,    10.0,     6.2,       323,    94.4
Beverly,00300000,"     2,107",    10.7,     6.7,"     2,015",    93.7
Billerica,00310000,"     1,831",    11.5,     8.7,"     1,730",    93.9
Blackstone Valley Regional Vocational Technical,08050000,       249,     2.4,     0.4,       249,    97.6
Blackstone-Millville,06220000,       725,    10.1,     6.8,       683,    95.5
Blue Hills Regional Vocational Technical,08060000,       434,     2.5,     0.7,       434,    97.5
Boston,00350000,"    43,243",    22.0,    15.1,"    41,040",    84.0
Boston Collegiate Charter (District),04490000,       391,     9.2,     5.1,       374,    94.9
Boston Day and Evening Academy Charter (District),04240000,       422,    44.1,    25.4,       363,    65.0
Boston Green Academy Horace Mann Charter School (District),04110000,       420,    15.0,    10.2,       419,    85.2
Boston Preparatory Charter Public (District),04160000,       464,    10.8,     5.8,       454,    91.2
Boston Renaissance Charter Public (District),04810000,       706,     8.2,     5.4,       678,    95.6
Bourne,00360000,       822,     9.9,     6.0,       790,    93.8
Boxford,00380000,       184,     5.4,     4.3,       177,    98.3
Braintree,00400000,"     2,490",     8.4,     5.4,"     2,391",    95.7
Brewster,00410000,       218,     8.7,     6.0,       208,    95.7
Bridge Boston Charter School (District),04170000,       301,     8.6,     3.3,       291,    94.5
Bridgewater-Raynham,06250000,"     1,842",     8.7,     5.9,"     1,776",    94.8
Brimfield,00430000,       122,     8.2,     7.4,       116,    96.6
Bristol County Agricultural,09100000,       168,     5.4,     0.0,       168,    94.6
Bristol-Plymouth Regional Vocational Technical,08100000,       580,     2.9,     0.7,       579,    97.2
Brockton,00440000,"    13,256",    15.4,    10.2,"    12,554",    91.2
Brooke Charter School (District),04280000,"     1,363",     8.7,     4.8,"     1,336",    93.2
Brookfield,00450000,       142,    10.6,     5.6,       136,    93.4
Brookline,00460000,"     3,095",    14.0,     8.0,"     2,929",    91.0
Burlington,00480000,"     1,103",    12.0,     8.5,"     1,040",    93.5
